2026-03-23 23:33:47 | _flatten | args: (<__main__.FlatIterator object at 0x0000024EBD077A10>, ['a']), kwargs: {} | return: None
2026-03-23 23:33:47 | _flatten | args: (<__main__.FlatIterator object at 0x0000024EBD077A10>, ['b', 'c']), kwargs: {} | return: None
2026-03-23 23:33:47 | _flatten | args: (<__main__.FlatIterator object at 0x0000024EBD077A10>, [['a'], ['b', 'c']]), kwargs: {} | return: None
2026-03-23 23:33:47 | _flatten | args: (<__main__.FlatIterator object at 0x0000024EBD077A10>, ['f']), kwargs: {} | return: None
2026-03-23 23:33:47 | _flatten | args: (<__main__.FlatIterator object at 0x0000024EBD077A10>, [['f'], 'h']), kwargs: {} | return: None
2026-03-23 23:33:47 | _flatten | args: (<__main__.FlatIterator object at 0x0000024EBD077A10>, ['d', 'e', [['f'], 'h'], False]), kwargs: {} | return: None
2026-03-23 23:33:47 | _flatten | args: (<__main__.FlatIterator object at 0x0000024EBD077A10>, ['!']), kwargs: {} | return: None
2026-03-23 23:33:47 | _flatten | args: (<__main__.FlatIterator object at 0x0000024EBD077A10>, [['!']]), kwargs: {} | return: None
2026-03-23 23:33:47 | _flatten | args: (<__main__.FlatIterator object at 0x0000024EBD077A10>, [[['!']]]), kwargs: {} | return: None
2026-03-23 23:33:47 | _flatten | args: (<__main__.FlatIterator object at 0x0000024EBD077A10>, [[[['!']]]]), kwargs: {} | return: None
2026-03-23 23:33:47 | _flatten | args: (<__main__.FlatIterator object at 0x0000024EBD077A10>, [[[[['!']]]]]), kwargs: {} | return: None
2026-03-23 23:33:47 | _flatten | args: (<__main__.FlatIterator object at 0x0000024EBD077A10>, []), kwargs: {} | return: None
2026-03-23 23:33:47 | _flatten | args: (<__main__.FlatIterator object at 0x0000024EBD077A10>, [1, 2, None, [[[[['!']]]]], []]), kwargs: {} | return: None
2026-03-23 23:33:47 | _flatten | args: (<__main__.FlatIterator object at 0x0000024EBD077A10>, [[['a'], ['b', 'c']], ['d', 'e', [['f'], 'h'], False], [1, 2, None, [[[[['!']]]]], []]]), kwargs: {} | return: None
2026-03-23 23:33:47 | __next__ | args: (<__main__.FlatIterator object at 0x0000024EBD077A10>,), kwargs: {} | return: a
2026-03-23 23:33:47 | __next__ | args: (<__main__.FlatIterator object at 0x0000024EBD077A10>,), kwargs: {} | return: b
2026-03-23 23:33:47 | __next__ | args: (<__main__.FlatIterator object at 0x0000024EBD077A10>,), kwargs: {} | return: c
2026-03-23 23:33:47 | __next__ | args: (<__main__.FlatIterator object at 0x0000024EBD077A10>,), kwargs: {} | return: d
2026-03-23 23:33:47 | __next__ | args: (<__main__.FlatIterator object at 0x0000024EBD077A10>,), kwargs: {} | return: e
2026-03-23 23:33:47 | __next__ | args: (<__main__.FlatIterator object at 0x0000024EBD077A10>,), kwargs: {} | return: f
2026-03-23 23:33:47 | __next__ | args: (<__main__.FlatIterator object at 0x0000024EBD077A10>,), kwargs: {} | return: h
2026-03-23 23:33:47 | __next__ | args: (<__main__.FlatIterator object at 0x0000024EBD077A10>,), kwargs: {} | return: False
2026-03-23 23:33:47 | __next__ | args: (<__main__.FlatIterator object at 0x0000024EBD077A10>,), kwargs: {} | return: 1
2026-03-23 23:33:47 | __next__ | args: (<__main__.FlatIterator object at 0x0000024EBD077A10>,), kwargs: {} | return: 2
2026-03-23 23:33:47 | __next__ | args: (<__main__.FlatIterator object at 0x0000024EBD077A10>,), kwargs: {} | return: None
2026-03-23 23:33:47 | __next__ | args: (<__main__.FlatIterator object at 0x0000024EBD077A10>,), kwargs: {} | return: !
2026-03-23 23:33:47 | _flatten | args: (<__main__.FlatIterator object at 0x0000024EBD5B6AD0>, ['a']), kwargs: {} | return: None
2026-03-23 23:33:47 | _flatten | args: (<__main__.FlatIterator object at 0x0000024EBD5B6AD0>, ['b', 'c']), kwargs: {} | return: None
2026-03-23 23:33:47 | _flatten | args: (<__main__.FlatIterator object at 0x0000024EBD5B6AD0>, [['a'], ['b', 'c']]), kwargs: {} | return: None
2026-03-23 23:33:47 | _flatten | args: (<__main__.FlatIterator object at 0x0000024EBD5B6AD0>, ['f']), kwargs: {} | return: None
2026-03-23 23:33:47 | _flatten | args: (<__main__.FlatIterator object at 0x0000024EBD5B6AD0>, [['f'], 'h']), kwargs: {} | return: None
2026-03-23 23:33:47 | _flatten | args: (<__main__.FlatIterator object at 0x0000024EBD5B6AD0>, ['d', 'e', [['f'], 'h'], False]), kwargs: {} | return: None
